（又一次被禁止置顶，N年来，此“待遇”已“享受”过不下5次了。）知足常乐，个人满意；感恩公司，感恩与本股不离不弃的朋友们！_恒瑞医药(600276)股吧_东方财富网股吧　  600276 761772194.html	 600276	1
聚利如果单独上市 市值应该不低于万集和金溢 万集目前快90亿 金溢也有80亿的市值 而华铭加聚利目前才45亿市值 只能獐子岛管理层太不给力了	 45	3
各位新来的朋友，请允许我介绍一下创新医疗科技，创新医疗科技业绩比上年下降90左右，目前处于证监会立案调查违规担保期间，管理层刚刚取消了增持承诺，还有，创新医疗科技还有将近20亿的商誉，谢谢大家，祝你们套的牢。	 20	3
11月11日1.今天虽然整体趋势向下，大盘指数跌超1个点。但各基金抵御性强，未出现很大跌幅。由此，今日只是正常调整。2.今天是可以至少建仓三成的，明天不论涨跌，只要幅度超过2个点，应该都是加仓机会。涨表示已转向，跌可以继续追加，反弹会更强。3.空仓到今天快半个月了。这种感觉挺好，边观望边找寻机会。	 2	4
黄金1471附近做空，严格防守1476，目标1467，1463。黄金回调1461附近做多，严格防守1457，目标1465，1471。原油等待56整数介入多单，止损55.5，目标56.5-57。布局完毕，等待行情验证我的思路，以及正确率，有更改评论区更新，大家多多关注	1471.0	2
2018年，公司投资的股票市场市值1727.57亿元，而伯克希尔公司的总资产为7078亿元，股票市值与总资产之比为24.4%。股票投资2018年，伯克希尔公司净利润大幅下降92%以上，主要原因是投资大幅亏损。2017年，伯克希尔公司的投资收益为14.1亿美元，而2018年亏损高达221.55亿美元，相当于1551亿人民币；	 14.1	6
近期哥一直提醒，不要再碰中昌，即使被套，也要尽快割，不可加仓抄底，现在咋样？傻了吧！今日早上起床，无意间看到华软科技（前日一字涨停，昨日涨6个多点），发现不妙，于早上7：14分在华软吧中叫快逃，今日果然跌停。	 6	4
意华股份　会回调到23元，我昨天集合竞价跑了，然后开盘买了 宝鼎科技，宝鼎科技　第2波行情一定会以连续8个涨停的方式上45　元，等宝鼎科技上45元以后再来意华股份抄底	45.0	2
九鼎新材8.6个点清空，东方中科2个多点全仓杀进。貌似操作对了	 8.6	4
对关联交易的认识。这个关联交易其实就是新增毛收入2300万。因未注入九次方，什么鸟一样的领航鲸，桥头堡企业均是谈故事无收入，为确保管理层的稳定，大家坐一条船上。三寿只好拿出关联交易，输送利益，确保激励条件第一年硬指标年收入的达标。不管怎么说，是利好玩具，说明玩具现有企业都是毛，只有注入九次方才有希望。	 2300	5
橡胶2001合约晚盘多单继续持有！说好的12250见。多头在给点力。赚他个200点也不多啊！	 200	4
"603489经典正儿八经的""多方炮""K线图型，四面八方都多方炮打响了，让你们有股没股的每天晚上都睡不着觉……"	 603489	1
昨天在开盘价出掉了领益制造。避免了当天股票大跌。随后出来的资金在3.03元买入了600069银鸽投资。买入之后，昨天属于平台突破的走势。但下午一直在横盘震荡，今天收大盘的影响，低开之后进行了三波拉升。然后拐头向下，回踩实破之前的平台高点。尾盘在探底，成功之后收复失地。昨天买入的这个股票。也成功地在早盘三波拉升的高点头部区域出局。出来后的资金买入了当代东方。	 600069	1
11:54【黄山旅游：股东11月23日至12月1日可享受黄山风景区和太平湖景区门票免费】e公司讯，黄山旅游宣布将再度开展股东回馈活动，截至11月18日收市，持有公司股份（黄山旅游A股600054，或黄山旅游B股900942）的股东，在11月23日至12月1日期间（为期9天）可享受黄山旅游旗下黄山风景区和太平湖景区门票免费政策。（来自证券时报e公司APP）	 900942	1
投资者千万不要忽视港资18元下的成本和基金通过高抛低吸后23元左右的成本是未来大幅减仓操作的风险因素，市场这个样子谁愿意把星网锐捷拉升到30倍市盈率的高风险去出货？谁愿意接30元以上的价格去冒险拿到35元以上去卖？现在市场上存在着一大批有核心资产的优质投资标的其市盈率10倍至15倍之间。	30.0	2
主力用大股东占用5.9亿资金的利空打压，两家五星级酒店抵压给华鼎，现在大股东在华鼎的全部股票3亿股被冻结了3年。是利好。又有省市国资背景的股东在6~7元的时候接盘被套，所以3元买了也不用怕亏。	 5.9	5
不好意思，4.76又买了1100股@核电永远 @自贡抄表员	 1100	5
华图教育估值多少？大家讨论一下就算借壳估值200亿，加上现在实达集团设计50亿，翻一倍也才500亿，合理否	 200	3
